[00:58:03] 我是你哥。: 2k
[03:04:05] Shaddoll_Naga: 11ys
[03:18:56] Shaddoll_Naga: 15zp
[03:21:29] Shaddoll_Naga: 15zp 10卡
[03:30:35] 夜雪: 20k
[11:05:11] : 21卡[CQ:image,file=FF7A43F3142A151B16862BDC0DE612F1.png,subType=0,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhT1KFHi7PQ1ovmkjFmRFDJALpk5vhiAiSMg_woo-c237r3SkAMyBHByb2RQgL2jAVoQFqA6V1_Zc7l1hr8ocZWWu3oC7cyCAQJneg&amp;spec=0&amp;rkey=CAESMDGb9YMgYD1BGCpu6frbUaQZJ7FcF-zKlwFhSfjkrxuZ8RKqZVN5KEvusAo3QyhCNg,file_size=574592]
[11:13:10] ______Vincent.: 30m
[11:19:34] ______Vincent.: 28崖
[11:38:53] : 49麦田[CQ:image,file=93210D725F272802A50AB8DC3D70780A.png,subType=0,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhT-5Rm24QomVpLeC0d-DX_c_Q5kTBjs0Bog_woo1dyTs8XSkAMyBHByb2RQgL2jAVoQ8yON9oF8W6phzOlbP9mRpHoCseqCAQJneg&amp;spec=0&amp;rkey=CAESMCBBY4WhWjcEfjxPamsdaGUj3rw8eCkpp8qAdWXmbyRcHBMxRM0r6PrvOfESReYJig,file_size=436332]
[11:51:27] : 39卡[CQ:image,file=64472E8DED158B3C902B9AA9B11976DE.png,subType=0,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhTV7H8xAr6AlUW0e9Ljn2kLFxB_DBjw2CAg_woorebmmsjSkAMyBHByb2RQgL2jAVoQGW-7qXPYGIgamEExpPOts3oCD8yCAQJneg&amp;spec=0&amp;rkey=CAESMCBBY4WhWjcEfjxPamsdaGUj3rw8eCkpp8qAdWXmbyRcHBMxRM0r6PrvOfESReYJig,file_size=535664]
[11:51:39] 想要莉莉丝: 39卡-80崖
[11:58:56] Shaddoll_Naga: 79崖
[12:02:19] ______Vincent.: 66yz
[12:07:43] ______Vincent.: 2zp
[12:09:00] : 31卡[CQ:image,file=C4648B6BA68DC6919C6785F6CBF22099.png,subType=0,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhQP3BDn-ip49zMmk9qiZbnOifn05xjNni0g_wooxZCwkMzSkAMyBHByb2RQgL2jAVoQtPKuacFTBGQV8XpuNSvsN3oCcziCAQJneg&amp;spec=0&amp;rkey=CAESMCBBY4WhWjcEfjxPamsdaGUj3rw8eCkpp8qAdWXmbyRcHBMxRM0r6PrvOfESReYJig,file_size=741197]
[12:26:49] ______Vincent.: 34yz
[12:28:32] : 20卡[CQ:image,file=C0D0A619376182DC87181B27B0ACEA3F.png,subType=0,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhRYwz85wctWVnmceuDA_5PJ0khV_xiQgA0g_wooitPev9DSkAMyBHByb2RQgL2jAVoQ3SdX330CS-8s6LGK9FPKTnoCaV-CAQJneg&amp;spec=0&amp;rkey=CAISMOycmqWXBY4EspwnAn1euPe4mUJmyyLB7Cad8G_LiFeOzpHdxlnHhfN8gHNCAmaHpg,file_size=213008]
[12:44:07] : 42m
[12:48:17] ______Vincent.: 7ys
[12:48:44] hh。: 8m-7ys
[12:59:55] : 77帐篷[CQ:image,file=61F42D725A142B1697567E6D50DF0ECE.png,subType=0,url=https://multimedia.nt.qq.com.cn/download?appid=1407&amp;fileid=EhQI99_bGWlyZJa8S3NQhZxqXag-xRjNgyAg_woo1OukwNfSkAMyBHByb2RQgL2jAVoQUHDl5Qr11kOwvnL11GYHzHoCxneCAQJneg&amp;spec=0&amp;rkey=CAISMOycmqWXBY4EspwnAn1euPe4mUJmyyLB7Cad8G_LiFeOzpHdxlnHhfN8gHNCAmaHpg,file_size=524749]
